Name,Price,Rating,Image_URL
XIAOMI Redmi A2 Plus - 6.52-inch 64GB/3GB Dual Sim 4G Mobile Phone - Black,,,image_XIAOMI Redmi A2 Plus - 6.52-inch 64GB_3GB Dual Sim 4G Mobile Phone - Black.jpg
XIAOMI Redmi A2 Plus - 6.52-inch 64GB/3GB Dual Sim 4G Mobile Phone - Black,,,image_XIAOMI Redmi A2 Plus - 6.52-inch 64GB_3GB Dual Sim 4G Mobile Phone - Black.jpg
XIAOMI Redmi 12 - 6.79-Inch 128GB/8GB Dual SIM 4G Mobile Phone - Sky Blue,"جنيه 7,749.00",5 out of 5,image_XIAOMI Redmi 12 - 6.79-Inch 128GB_8GB Dual SIM 4G Mobile Phone - Sky Blue.jpg
XIAOMI Redmi 12 - 6.79-Inch 128GB/8GB Dual SIM 4G Mobile Phone - Sky Blue,"جنيه 7,749.00",5 out of 5,image_XIAOMI Redmi 12 - 6.79-Inch 128GB_8GB Dual SIM 4G Mobile Phone - Sky Blue.jpg
OPPO A98 5G - 6.72 Inch 8GB/256GB Dual Sim Mobile Phone - Dreamy Blue (D),"جنيه 10,999.99",5 out of 5,image_OPPO A98 5G - 6.72 Inch 8GB_256GB Dual Sim Mobile Phone - Dreamy Blue D.jpg
OPPO A98 5G - 6.72 Inch 8GB/256GB Dual Sim Mobile Phone - Dreamy Blue (D),"جنيه 10,999.99",5 out of 5,image_OPPO A98 5G - 6.72 Inch 8GB_256GB Dual Sim Mobile Phone - Dreamy Blue D.jpg
